Ano,Mês,Processo,AnoDoProcesso,Tipo_PF_PJ,CPF_CNPJ,Substância,UF,CodigoMunicipio,Município,QuantidadeComercializada,UnidadeDeMedida,ValorRecolhido,DataCriacao
2003,8,800097.0,1993.0,PJ,06718001000152,ARGILA,PI,2211001,TERESINA,2501,t  ,"121,86",2003-07-31 12:59:00
2003,8,800097.0,1993.0,PJ,06718001000152,ARGILA,PI,2211001,TERESINA,2070,t  ,"108,39",2003-07-31 12:53:00
2003,8,800097.0,1993.0,PJ,06718001000152,ARGILA,PI,2211001,TERESINA,2618,t  ,"157,81",2003-07-31 12:46:00
2003,8,800097.0,1993.0,PJ,06718001000152,ARGILA,PI,2211001,TERESINA,1854,t  ,"106,93",2003-07-31 12:49:00
2003,8,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1579,t  ,"137,75",2003-08-01 09:47:00
2003,8,,,PJ,09588906000143,CASCALHO,PI,2211001,TERESINA,590,m3 ,"56,75",2003-08-01 17:30:00
2003,8,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,500,m3 ,"736,64",2003-08-27 16:48:00
2003,8,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1927,t  ,"94,07",2003-07-11 08:39:00
2003,8,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1834,t  ,"145,29",2003-08-28 10:56:00
2003,8,,,PJ,23290216000134,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2188,t  ,"42,82",2003-08-28 15:38:00
2003,8,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,24420,t  ,"637,26",2003-07-10 14:24:00
2003,9,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2659,t  ,"194,98",2003-09-05 13:50:00
2003,9,,,PJ,69628683000122,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2282,t  ,"147,17",2003-09-19 09:01:00
2003,9,,,PJ,06526636000158,CALCÁRIO DOLOMÍTICO,PI,2205508,JOSÉ DE FREITAS,384,t  ,"250,08",2003-09-15 21:42:00
2003,9,,,PJ,01604657000120,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2022,t  ,"39,4",2003-09-30 10:10:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,1850,t  ,"566,07",2003-09-22 11:52:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,380,t  ,"114,49",2003-09-22 11:54:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,630,t  ,"197,19",2003-09-22 12:01:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,1100,t  ,"335,07",2003-09-22 12:06:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,400,t  ,"112,95",2003-09-22 12:08:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,180,t  ,"53,05",2003-09-22 12:11:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,690,t  ,"217,73",2003-09-22 12:13:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,520,t  ,"147,51",2003-09-22 12:16:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,90,t  ,"23,67",2003-09-22 12:18:00
2003,9,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,28,t  ,"12,97",2003-09-22 12:21:00
2003,9,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2212,t  ,"108,34",2003-08-29 08:36:00
2003,9,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1983,t  ,"218,03",2003-09-29 07:51:00
2003,10,,,PJ,09588906000143,CASCALHO,PI,2211001,TERESINA,1235,m3 ,"195,35",2003-10-02 14:44:00
2003,10,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,3408,t  ,"237,87",2003-10-06 12:18:00
2003,10,,,PF,***015613**,DIABÁSIO P/ BRITA,PI,2205581,LAGOA DO PIAUÍ,2000,m3 ,"974,05",2003-10-09 08:29:00
2003,10,,,PJ,07079783000190,DIABÁSIO,PI,2203909,FLORIANO,260,m3 ,"188,12",2003-10-16 12:02:00
2003,10,,,PJ,07079783000190,DIABÁSIO,PI,2203909,FLORIANO,103,m3 ,"75,28",2003-10-16 11:59:00
2003,10,,,PJ,07079783000190,DIABÁSIO,PI,2203909,FLORIANO,190,m3 ,"146,91",2003-10-16 11:50:00
2003,10,,,PJ,07079783000190,DIABÁSIO,PI,2203909,FLORIANO,66,m3 ,"59,18",2003-10-16 11:47:00
2003,10,,,PJ,07079783000190,DIABÁSIO,PI,2203909,FLORIANO,60,m3 ,"50,5",2003-10-16 11:34:00
2003,10,,,PJ,06526636000158,CALCÁRIO DOLOMÍTICO,PI,2205508,JOSÉ DE FREITAS,724,t  ,"486,15",2003-10-13 20:21:00
2003,10,,,PJ,69628683000122,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2315,t  ,"151,46",2003-10-20 09:44:00
2003,10,,,PJ,03382893000175,ARGILA P/CER. VERMELH,PI,2206209,MIGUEL ALVES,1366,t  ,"64,56",2003-10-28 18:52:00
2003,10,,,PJ,01991046000182,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2112,t  ,"125,58",2003-10-14 14:22:00
2003,10,,,PJ,01991046000182,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2345,t  ,"122,98",2003-10-13 16:32:00
2003,10,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,278,m3 ,"409,25",2003-10-30 16:58:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,290,t  ,"86,85",2003-10-31 12:33:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,640,t  ,"194,37",2003-10-31 12:42:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,150,t  ,"43,83",2003-10-31 12:36:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,90,t  ,"25,41",2003-10-31 12:45:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,150,t  ,"43,83",2003-10-31 12:48:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,900,t  ,"294,23",2003-10-31 12:30:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,350,t  ,"105,27",2003-10-31 12:25:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,130,t  ,"37,69",2003-10-31 12:18:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,180,t  ,"53,05",2003-10-31 12:40:00
2003,10,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,180,t  ,"48,63",2003-10-31 12:14:00
2003,10,,,PJ,06718001000152,ARGILA,PI,2211001,TERESINA,2602,t  ,"158,69",2003-10-13 15:28:00
2003,10,,,PJ,06718001000152,ARGILA,PI,2211001,TERESINA,2099,t  ,"131,09",2003-10-13 15:34:00
2003,10,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1907,t  ,"93,08",2003-10-06 15:54:00
2003,10,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2455,t  ,"190,69",2003-10-28 10:27:00
2003,10,1267.0,1957.0,PJ,07196033002222,ÁGUA MINERAL,PI,2211001,TERESINA,1116828,l  ,"7519,19",2003-09-30 15:18:00
2003,10,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,33354,t  ,"871,22",2003-09-05 14:09:00
2003,10,,,PJ,63517098000179,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,3952,t  ,"5067,11",2003-10-31 15:50:00
2003,11,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,3232,t  ,"227,42",2003-11-05 11:31:00
2003,11,,,PJ,05454846000115,DIABÁSIO P/ REVESTIMENTO,PI,2203909,FLORIANO,2,m3 ,"399,7",2003-10-28 08:35:00
2003,11,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,839,m3 ,"1239,02",2003-11-27 18:23:00
2003,11,,,PJ,03382893000175,ARGILA P/CER. VERMELH,PI,2206209,MIGUEL ALVES,1898,t  ,"114,29",2003-11-28 11:57:00
2003,11,,,PJ,04237157000196,ÁGUA MINERAL,PI,2211001,TERESINA,5900,l  ,"218,01",2003-11-28 14:34:00
2003,11,,,PJ,06526636000158,CALCÁRIO DOLOMÍTICO,PI,2205508,JOSÉ DE FREITAS,674,t  ,"488,46",2003-11-09 20:21:00
2003,11,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2528,t  ,"124,12",2003-11-11 16:30:00
2003,11,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2811,t  ,"224,18",2003-11-26 09:05:00
2003,11,1267.0,1957.0,PJ,07196033002222,ÁGUA MINERAL,PI,2211001,TERESINA,1246173,l  ,"8561,92",2003-11-05 10:47:00
2003,11,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,28598,t  ,"746,67",2003-10-04 14:44:00
2003,11,800330.0,1992.0,PJ,63517098000179,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,1457,t  ,"1230,75",2003-11-25 11:39:00
2003,12,800330.0,1992.0,PJ,63517098000179,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,6105,t  ,"5201,7",2003-11-28 18:01:00
2003,12,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,3412,t  ,"243,08",2003-12-05 13:10:00
2003,12,,,PJ,09588906000143,CASCALHO,PI,2211001,TERESINA,926,m3 ,"145,93",2003-12-11 14:21:00
2003,12,,,PJ,05454846000115,ROCHA BETUMINOSA,PI,2203909,FLORIANO,1,t  ,"139,44",2003-12-04 17:52:00
2003,12,,,PJ,06526636000158,CALCÁRIO DOLOMÍTICO,PI,2205508,JOSÉ DE FREITAS,624,t  ,"452,34",2003-12-08 21:17:00
2003,12,,,PJ,08673030000170,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,9333,t  ,"6938,6",2003-12-15 15:31:00
2003,12,,,PJ,08673030000170,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,1928,t  ,"1528,64",2003-12-15 15:27:00
2003,12,,,PJ,03382893000175,ARGILA P/CER. VERMELH,PI,2206209,MIGUEL ALVES,1801,t  ,"181,41",2003-12-22 16:14:00
2003,12,,,PJ,69628683000122,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2422,t  ,"151,07",2003-12-01 16:38:00
2003,12,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,1805,m3 ,"2667,5",2003-12-29 17:10:00
2003,12,,,PJ,04237157000196,ÁGUA MINERAL,PI,2211001,TERESINA,6400,l  ,"210,26",2003-12-30 11:24:00
2003,12,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2479,t  ,"121,73",2003-12-10 09:50:00
2003,12,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2900,t  ,"274,86",2003-12-30 08:09:00
2003,12,1267.0,1957.0,PJ,07196033002222,ÁGUA MINERAL,PI,2211001,TERESINA,1456378,l  ,"10047,7",2003-12-02 08:50:00
2003,12,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,29476,t  ,"769,69",2003-11-10 11:41:00
2004,1,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,4367,t  ,"319,56",2004-01-05 13:51:00
2004,1,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,400,t  ,"132,66",2003-12-04 11:55:00
2004,1,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,360,t  ,"120,98",2003-12-04 12:02:00
2004,1,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,80,t  ,"25,21",2003-12-04 12:10:00
2004,1,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,120,t  ,"38,85",2003-12-04 12:08:00
2004,1,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,100,t  ,32,2003-12-04 12:05:00
2004,1,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,230,t  ,"75,49",2003-12-04 12:15:00
2004,1,,,PJ,04642565000123,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,400,t  ,"133,35",2003-12-04 12:18:00
2004,1,,,PJ,08673030000170,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,2828,t  ,"2120,95",2004-01-09 10:23:00
2004,1,,,PJ,10983880000117,ARGILA REFRATÁRIA,PI,2202133,CAMPO GRANDE DO PIAUÍ,172,t  ,"269,65",2004-01-09 12:33:00
2004,1,,,PJ,69628683000122,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,1958,t  ,"198,26",2004-01-19 10:25:00
2004,1,,,PJ,04210541000103,CALCÁRIO MAGNESIANO,PI,2203206,CURIMATÁ,7773,t  ,"269,87",2004-01-26 16:45:00
2004,1,,,PJ,02786494000298,DIABÁSIO P/ BRITA,PI,2205581,LAGOA DO PIAUÍ,4802,m3 ,"1506,36",2003-12-09 16:28:00
2004,1,,,PJ,41267949000130,SEIXOS,PI,2211001,TERESINA,750,m3 ,"27,77",2003-12-28 22:02:00
2004,1,,,PJ,63517098000179,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,337,t  ,"265,05",2004-01-28 11:32:00
2004,1,,,PJ,63517098000179,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,1200,t  ,"899,6",2004-01-28 11:34:00
2004,1,800763.0,1983.0,PJ,06201605000127,CALCÁRIO DOLOMÍTICO,PI,2201408,BARRO DURO,222,t  ,"95,48",2004-01-21 16:29:00
2004,1,800763.0,1983.0,PJ,06201605000127,CALCÁRIO DOLOMÍTICO,PI,2201408,BARRO DURO,30,t  ,"10,82",2004-01-20 18:44:00
2004,1,800763.0,1983.0,PJ,06201605000127,CALCÁRIO DOLOMÍTICO,PI,2201408,BARRO DURO,30,t  ,"10,93",2004-01-20 18:41:00
2004,1,800763.0,1983.0,PJ,06201605000127,CALCÁRIO DOLOMÍTICO,PI,2201408,BARRO DURO,541,t  ,"245,74",2004-01-20 18:34:00
2004,1,,,PJ,09588906000143,CASCALHO,PI,2211001,TERESINA,1250,m3 ,"197,77",2004-01-28 15:31:00
2004,1,,,PJ,01604657000120,ARGILA,PI,2202208,CAMPO MAIOR,2516,t  ,"55,77",2003-10-31 10:33:00
2004,1,,,PJ,01604657000120,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2398,t  ,"52,53",2003-12-17 00:18:00
2004,1,,,PJ,01604657000120,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2748,t  ,"60,76",2003-12-17 00:07:00
2004,1,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,925,m3 ,"1366,51",2004-01-29 08:59:00
2004,1,,,PJ,02786494000298,DIABÁSIO P/ BRITA,PI,2205581,LAGOA DO PIAUÍ,2292,m3 ,"1029,4",2004-01-06 15:46:00
2004,1,,,PJ,03382893000175,ARGILA P/CER. VERMELH,PI,2206209,MIGUEL ALVES,1614,t  ,"100,07",2004-01-28 15:26:00
2004,1,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2990,t  ,"268,45",2004-01-29 08:21:00
2004,1,,,PJ,07196033002222,ÁGUA MINERAL,PI,2211001,TERESINA,1346839,l  ,"9184,8",2004-01-05 17:29:00
2004,1,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,42113,t  ,"1100,63",2003-12-04 16:20:00
2004,1,800330.0,1992.0,PJ,63517098000179,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,2450,t  ,"5340,47",2004-01-29 17:01:00
2004,2,800320.0,1980.0,PJ,06851646000169,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2956,t  ,"148,01",2004-01-21 10:54:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"57,27",2004-01-30 11:30:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"56,77",2004-01-30 11:30:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"47,77",2004-01-30 12:00:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"54,27",2004-01-30 11:42:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"53,77",2004-01-30 11:43:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"53,27",2004-01-30 11:44:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"55,77",2004-01-30 11:40:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"55,27",2004-01-30 11:41:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"54,77",2004-01-30 11:42:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"56,27",2004-01-30 11:39:00
2004,2,,,PJ,00048785001225,ÁGUA MINERAL,PI,2211001,TERESINA,1,l  ,"57,77",2004-01-30 11:26:00
2004,2,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,3245,t  ,"227,3",2004-02-05 12:39:00
2004,2,,,PJ,06526636000158,CALCÁRIO DOLOMÍTICO,PI,2205508,JOSÉ DE FREITAS,914,t  ,"737,84",2004-01-07 22:06:00
2004,2,,,PJ,06526636000158,CALCÁRIO DOLOMÍTICO,PI,2205508,JOSÉ DE FREITAS,457,t  ,"334,3",2004-01-07 22:10:00
2004,2,803085.0,1997.0,PJ,02746671000121,QUARTZITO,PI,2202604,CASTELO DO PIAUÍ,869,m3 ,"1282,35",2004-02-25 12:48:00
2004,2,,,PJ,10983880000117,ARGILA REFRATÁRIA,PI,2202133,CAMPO GRANDE DO PIAUÍ,160,t  ,"275,92",2004-02-26 11:38:00
2004,2,,,PJ,69628683000122,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2193,t  ,"214,67",2004-02-06 09:41:00
2004,2,,,PJ,03382893000175,ARGILA P/CER. VERMELH,PI,2206209,MIGUEL ALVES,2032,t  ,"101,91",2004-02-26 20:08:00
2004,2,,,PJ,06853527000145,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,2167,t  ,"237,22",2004-02-27 07:28:00
2004,2,1267.0,1957.0,PJ,07196033002222,ÁGUA MINERAL,PI,2211001,TERESINA,1925643,l  ,"12639,76",2004-02-03 09:55:00
2004,2,811539.0,1976.0,PJ,27184936000176,CALCÁRIO,PI,2204303,FRONTEIRAS,17924,t  ,"467,17",2004-01-07 15:29:00
2004,2,800330.0,1992.0,PJ,63517098000179,CALCÁRIO DOLOMÍTICO,PI,2200806,ANTÔNIO ALMEIDA,20290,t  ,"5405,5",2004-02-27 11:57:00
2004,3,800083.0,1992.0,PJ,07258122000121,ARGILA P/CER. VERMELH,PI,2202208,CAMPO MAIOR,2066,t  ,"147,8",2004-03-05 13:35:00
2004,3,,,PJ,05454846000115,DIABÁSIO P/ REVESTIMENTO,PI,2203909,FLORIANO,2,m3 ,"106,26",2004-01-12 11:16:00
2004,3,,,PJ,05454846000115,DIABÁSIO P/ REVESTIMENTO,PI,2203909,FLORIANO,2,m3 ,"167,54",2004-02-12 16:59:00
2004,3,,,PJ,05454846000115,ROCHA BETUMINOSA,PI,2203909,FLORIANO,1,t  ,"77,47",2003-12-12 12:14:00
2004,3,,,PJ,05454846000115,ROCHA BETUMINOSA,PI,2203909,FLORIANO,50,t  ,"106,24",2004-03-04 11:58:00
2004,3,,,PJ,11615978000184,ARGILA P/CER. VERMELH,PI,2211001,TERESINA,304,t  ,"15,19",2004-03-17 10:52:00
2004,3,800255.0,1991.0,PJ,06710735000195,ARGILA P/CER. VERMELH,PI,2207702,PARNAÍBA,2180,t  ,"47,15",2004-03-23 17:42:00
2004,3,800255.0,1991.0,PJ,06710735000195,ARGILA P/CER. VERMELH,PI,2207702,PARNAÍBA,2050,t  ,"48,33",2004-03-23 17:39:00
2004,3,800255.0,1991.0,PJ,06710735000195,ARGILA P/CER. VERMELH,PI,2207702,PARNAÍBA,1950,t  ,"44,94",2004-03-23 17:37:00
2004,3,800255.0,1991.0,PJ,06710735000195,ARGILA P/CER. VERMELH,PI,2207702,PARNAÍBA,1700,t  ,"51,84",2004-03-23 17:33:00
